"airport_name","airport_id"
"Arad","1712402571288182786"
"Aradah","1712401114874839042"
"Aragarcas","1712401141760327682"
"Aragarcas","1712402362516701185"
"Araguacema","1712401140397178881"
"Araguaina Airport","1712402362579615745"
"Araguari","1712402362642530305"
"Araguatins","1712401141114404866"
"Araksoyene","1712401039025045505"
"Aramac","1712401198635089921"
"Aramil","1712401175860019203"
"Arandis","1712402538320953345"
"Aransas Co","1712402095276621825"
"Arant","1712402274314682369"
"Arapahoe Municipal","1712401429187592193"
"Arapiraca","1712401146923515906"
"Arapongas","1712402362705444866"
"Arapoti","1712402362776748034"
"Arar Airport","1712402581824274434"
"Araracuara Airport","1712401142020374529"
"Araras","1712401131933073410"
"Ararat","1712402330056982529"
"Araripina","1712402362902577153"
"Aratika Airport","1712402446608302082"
"Arauca Airport","1712402402761048066"
"Araxa Airport","1712402362902577154"
"Arba Mintch Airport","1712402425418678273"
"Arbent","1712401088832405506"
"Arboga","1712402737151934466"
"Arcade Tri-County","1712401429447639041"
"Arcadia Farms","1712402067824902146"
"Arcadia Municipal","1712401429510553601"
"Arcadia-Bienville Parish","1712401429577662465"
"Arcata Airport","1712401430353608705"
"Archdale Meadows","1712401740354617345"
"Archer Memorial Field","1712402162632949762"
"Arco-Butte County","1712401430802399234"
"Arcoverde","1712401146730577921"
"Arctic Angel","1712401622859579393"
"Arctic Village Airport","1712401121665417217"
"Ardabil Airport","1712402487267885058"
"Ardeche Meridionale","1712402431718522882"
"Ardell Flying Field","1712401898437935106"
"Ardmore","1712401431049863170"
"Ardmore","1712402541504430081"
"Ardmore Downtown Executive","1712401431184080898"
