"airport_name","icao_code"
"Antsirabe","FMME"
"Antsoa","FMSB"
"Antwerp International Airport","EBAW"
"Anvik Airport","PANV"
"Anxiety Aerodrome","TA05"
"Anyang","ZHAY"
"Aomori Airport","RJSA"
"Aosta","LIMW"
"Apache Pass","4XA4"
"Apache Springs","64TE"
"Apalachee Bluff Airpark","67GA"
"Apalachicola Regl","KAAF"
"Apartado Airport","SKLC"
"Apataki Airport","NTGD"
"Apex","65NK"
"Apex Airpark","8W5"
"Apolo","SLAP"
"Apple Valley","KAPV"
"Apple Valley","OR61"
"Applegate","5MO"
"Appleton Mun","KAQP"
"APT Tumenggung Pranoto Airport","WALS"
"Aquino","LIAQ"
"Araak Airport","OIHR"
"Aracati","SBAC"
"Aracati","SNAT"
"Aracatuba Airport","SBAU"
"Aracuai","SNUI"
"Arad","LRAR"
"Aradah","OEAD"
"Aragarcas","SJVO"
"Aragarcas","SWAC"
"Araguacema","SJAU"
"Araguaina Airport","SWGN"
"Araguari","SNAG"
"Araguatins","SJGU"
"Araksoyene","ENVE"
"Aramac","YAMC"
"Aramil","USSK"
"Arandis","FYAR"
"Aransas Co","KRKP"
"Arant","1NC6"
"Arapahoe Municipal","37V"
"Arapiraca","SNAL"
"Arapongas","SSOG"
"Arapoti","SSYA"
"Arar Airport","OERR"
"Araracuara Airport","SKAC"
"Araras","SDAA"
"Ararat","YARA"
"Araripina","SNAB"
"Aratika Airport","NTKK"
"Arauca Airport","SKUC"
"Araxa Airport","SBAX"
"Arba Mintch Airport","HAAM"
"Arbent","LFLK"
"Arboga","ESQO"
"Arcade Tri-County","D23"
"Arcadia Farms","5MD5"
"Arcadia Municipal","X06"
"Arcadia-Bienville Parish","5F0"
"Arcata Airport","KACV"
"Archdale Meadows","NY63"
"Archer Memorial Field","MI28"
"Arco-Butte County","KAOC"
"Arcoverde","SNAE"
"Arctic Angel","9AK4"
"Arctic Village Airport","PARC"
"Ardabil Airport","OITL"
"Ardeche Meridionale","LFHO"
"Ardell Flying Field","VT59"
"Ardmore","1M3"
"Ardmore","NZAR"
"Ardmore Downtown Executive","1F0"
"Ardmore Mun","KADM"
"Are Östersund Airport","ESNZ"
"Area 142","1TA1"
"Arealva Airport","SBAE"
"Arend","34OH"
"Arens","KRWN"
"Aresti Aerodrome","20T"
"Arezzo","LIQB"
"Argenton Sur Creuse","LFEG"
"Argonia Municipal","2K8"
"Argyle","1C3"
"Argyle Airport","YARG"
"Argyle International Airport","TVSA"
"Aribinda","DFOY"
"Aring Field","6OH4"
"Ariosto Da Riva","SSNB"
"Aripuanã","SWRP"
"Aristides Pereira International Airport","GVBA"
"Ark-Mo","AR93"
"Arkalyk","UAUR"
"Arkansas Intl","KBYH"
"Arkavalley","12A"
"Arkla Flyers Inc","5LS6"
"Arkmo","58MU"
"Arland","00AR"
"Arledge Field","F56"
"Arlington Mun","KAWO"
"Arlington Mun","KGKY"
"Arlington Municipal","1S8"
"Arlington Municipal","3A9"
"Arliss M","FA09"
"Arly","DFER"
"Armando Schwarck","SVAS"
"Armidale Airport","YARM"
"Armor","LFRT"
"Armstrong","CYYW"
"Armstrong Ranch","47TX"
"Arnage","LFRM"
"Arnbruck","EDNB"
"Arnemann Farms","0KY1"
"Arnika Ranch","MO77"
"Arnold Airstrip","7OR1"
"Arnold Field","55G"
"Arnold Field","M31"
"Arnold Palmer Regional Airport","KLBE"
"Arnolds","36KY"
"Arnprior","CNP3"
"Aro Airport","ENML"
"Aropa Airport","AYIQ"
"Arorae Island","NGTR"
"Arrabury","YARY"
"Arrachart Airport","FMNA"
"Arraias","SWRA"
"Arrendale Forest","GA45"
"Arrington Ranch","7XS5"
"Arrow 'S' Ranch","TE26"
"Arrowhead","79TE"
"Arrowhead Airpark","MU46"
"Arrowhead Farm","IN11"
"Arrowhead Point","2VA6"
"Arrowpoint","VG43"
"Arroyo Barril Intl","MDAB"
"Arso","WAJA"
"Artesia Mun","KATS"
"Arthur","1A2"
"Arthur Dunn AirPark","X21"
"Arthur Field","MN50"
"Arthur Municipal","NE33"
"Arthur N. Neu","KCIN"
"Arthur Siqueira","SBBP"
"Arthur'S Town Airport","MYCA"
"Artigas Intl","SUAG"
"Artigues De Lussac","LFDI"
"Arturo Merino Benitez Airport","SCEL"
"Arturo Michelena Airport","SVVA"
"Arua Airport","HUAR"
"Aruana","SWNH"
"Arusha Airport","HTAR"
"Arutua Airport","NTGU"
"Arvaikheer","ZMAH"
"Arviat Airport","CYEK"
"Arvidsjaur Airport","ESNX"
"Arvika","ESKV"
"Arxan Yi'ershi Airport","ZBES"
"Asaba International Airport","DNAS"
"Asahikawa Airport","RJEC"
"Asau","NSAU"
"Ascención De Guarayos","SLAS"
"Aschaffenburg","EDFC"
"Ash Creek","6AZ5"
"Ashburton Aerodrome","NZAS"
"Ashby","II26"
"Ashe County","KGEV"
"Asheboro Regl","KHBI"
"Asheville Regional Airport","KAVL"
"Ashford Field","7TX9"
"Ashgabat Airport","UTAA"
"Ashland County","3G4"
"Ashland Landing Farm","MD21"
"Ashland Municipal Sumner Parker Field","KS03"
"Ashland Municipal/Sumner Parker Field","S03"
"Ashland Regional","KDWU"
"Ashland/Lineville","26A"
"Ashlawn","3PN1"
"Ashlawn","CO23"
"Ashley","77ID"
"Ashley Field","SC01"
"Ashley Mun","KASY"
"Ashmore Field","2AR5"
"Ashworth","41AR"
"Asiago","LIDA"
"Askey Field","9TN5"
"Aslesen","8MN2"
"Asmara International Airport","HHAS"
"Asmat","WAKM"
"Asosa Airport","HASO"
"Aspen Gliderport","CO03"
"Aspen-Pitkin County Airport","KASE"
"Asplundh","MD64"
"Ass-Pirin Acres","VT11"
"Assab International Airport","HHSB"
"Assiniboia","CJN4"
"Assiut Airport","HEAT"
"Associacao Recreativa Fazenda","SDBN"
"Astoria Regl","KAST"
"Astorp","ENRK"
"Astrakhan Airport","URWA"
"Astronaut Kent Rominger","KRCV"
"Asturias Airport","LEAS"
"Astypalaia Airport","LGPL"
"Aswan International Airport","HESN"
"Atalaya","SPAY"
"Atambua Airport","WATA"
"Ataq","OYAT"
"Atar","GQPA"
"Ataturk","LTBA"
"Atauro","WPAT"
"Atbara","HSAT"
"Athabasca","CYWM"
"Athanasiou Valley","CO07"
"Athens Epps","KAHN"
"Athens International Airport ""Eleftherios Venizelos""","LGAV"
"Athens Municipal","F44"
"Ati","FTTI"
"Atikokan Mun","CYIB"
"Atizapan De Zaragoza","MMJC"
"ATK/Thiokol","07UT"
"Atka Airport","PAAK"
"Atkins Ridge","WI43"
"Atkinson Mun","KPTS"
"Atlanta","55H"
"Atlanta Municipal","Y93"
"Atlanta Rgnl Falcon Field","KFFC"
"Atlanta Speedway","KHMP"
"Atlantic City International Airport","KACY"
"Atlantic Mun","KAIO"
"Atlas Airfield","EDWQ"
"ATMA Atyrau Airport","UATG"
"Atmautluak","4A2"
"Atmore Municipal","0R1"
"Atoka Mun","KAQR"
"Atqasuk Edward Burnell Sr. Memorial Airport","PATQ"
"Atsinanana","FMMQ"
"Attawapiskat Airport","CYAT"
"Atterheide","EDWO"
"Attopeu","VLAP"
"Atuona Airport","NTMN"
"Atwell","1NC2"
"Atwood - Rawlins County City - County","KADT"
"Auberge Des Fleurs","4OR6"
